Index ,Monthly ,Monthly in Billions  ,Growth_rate
M2 Index,1/31/2014,"11,105.70",0.005897872
M2 Index,2/28/2014,11171.2,0.003303137
M2 Index,3/31/2014,11208.1,0.004014953
M2 Index,4/30/2014,11253.1,0.005758413
M2 Index,5/31/2014,11317.9,0.004912572
M2 Index,6/30/2014,11373.5,0.004739086
M2 Index,7/31/2014,11427.4,0.00214397
M2 Index,8/31/2014,11451.9,0.003650049
M2 Index,9/30/2014,11493.7,0.006473111
M2 Index,10/31/2014,11568.1,0.003518296
M2 Index,11/30/2014,11608.8,0.007166977
M2 Index,12/31/2014,11692,0.006209374
M2 Index,1/31/2015,11764.6,0.009027081
M2 Index,2/28/2015,11870.8,0.001078276
M2 Index,3/31/2015,11883.6,0.003332324
M2 Index,4/30/2015,11923.2,0.002616747
M2 Index,5/31/2015,11954.4,0.003856321
M2 Index,6/30/2015,12000.5,0.004116495
M2 Index,7/31/2015,12049.9,0.004174309
M2 Index,8/31/2015,12100.2,0.004999917
M2 Index,9/30/2015,12160.7,0.003297508
M2 Index,10/31/2015,12200.8,0.007294604
M2 Index,11/30/2015,12289.8,0.004947192
M2 Index,12/31/2015,12350.6,0.010477224
M2 Index,1/31/2016,12480,0.005344551
M2 Index,2/29/2016,12546.7,0.00498936
M2 Index,3/31/2016,12609.3,0.006622096
M2 Index,4/30/2016,12692.8,0.00555433
M2 Index,5/31/2016,12763.3,0.005124067
M2 Index,6/30/2016,12828.7,0.004747168
M2 Index,7/31/2016,12889.6,0.006718595
M2 Index,8/31/2016,12976.2,0.004847336
M2 Index,9/30/2016,13039.1,0.005376138
M2 Index,10/31/2016,13109.2,0.005377903
M2 Index,11/30/2016,13179.7,0.002488676
M2 Index,12/31/2016,13212.5,0.005373699
M2 Index,1/31/2017,13283.5,0.004863176
M2 Index,2/28/2017,13348.1,0.005139308
M2 Index,3/31/2017,13416.7,0.004524212
M2 Index,4/30/2017,13477.4,0.00432576
M2 Index,5/31/2017,13535.7,0.001758313
M2 Index,6/30/2017,13559.5,0.004719938
M2 Index,7/31/2017,13623.5,0.004294051
M2 Index,8/31/2017,13682,0.003318228
M2 Index,9/30/2017,13727.4,0.003948308
M2 Index,10/31/2017,13781.6,0.001886573
M2 Index,11/30/2017,13807.6,0.003288044
M2 Index,12/31/2017,13853,0.000635241
M2 Index,1/31/2018,13861.8,0.00271249
M2 Index,2/28/2018,13899.4,0.004216009
M2 Index,3/31/2018,13958,0.001626307
