Date,NASDQ_PX_LAST
10/10/2024,18282.05
10/9/2024,18291.62
10/8/2024,18182.92
10/7/2024,17923.9
10/4/2024,18137.85
10/3/2024,17918.47
10/2/2024,17925.12
10/1/2024,17910.36
9/30/2024,18189.17
9/27/2024,18119.59
9/26/2024,18190.29
9/25/2024,18082.21
9/24/2024,18074.52
9/23/2024,17974.27
9/20/2024,17948.32
9/19/2024,18013.98
9/18/2024,17573.3
9/17/2024,17628.06
9/16/2024,17592.13
9/13/2024,17683.98
9/12/2024,17569.68
9/11/2024,17395.53
9/10/2024,17025.88
9/9/2024,16884.6
9/6/2024,16690.83
9/5/2024,17127.66
9/4/2024,17084.3
9/3/2024,17136.3
8/30/2024,17713.62
8/29/2024,17516.43
8/28/2024,17556.03
8/27/2024,17754.82
8/26/2024,17725.77
8/23/2024,17877.79
8/22/2024,17619.35
8/21/2024,17918.99
8/20/2024,17816.94
8/19/2024,17876.77
8/16/2024,17631.72
8/15/2024,17594.5
8/14/2024,17192.6
8/13/2024,17187.61
8/12/2024,16780.61
8/9/2024,16745.3
8/8/2024,16660.02
8/7/2024,16195.81
8/6/2024,16366.85
8/5/2024,16200.08
8/2/2024,16776.16
8/1/2024,17194.14
7/31/2024,17599.4
7/30/2024,17147.42
7/29/2024,17370.2
7/26/2024,17357.88
7/25/2024,17181.72
7/24/2024,17342.41
7/23/2024,17997.35
7/22/2024,18007.57
7/19/2024,17726.94
7/18/2024,17871.22
7/17/2024,17996.92
7/16/2024,18509.34
7/15/2024,18472.57
7/12/2024,18398.45
7/11/2024,18283.41
7/10/2024,18647.45
7/9/2024,18429.29
7/8/2024,18403.74
7/5/2024,18352.76
7/3/2024,18188.3
7/2/2024,18028.76
7/1/2024,17879.3
6/28/2024,17732.6
6/27/2024,17858.68
6/26/2024,17805.16
6/25/2024,17717.65
6/24/2024,17496.82
6/21/2024,17689.36
6/20/2024,17721.59
6/18/2024,17862.23
6/17/2024,17857.02
6/14/2024,17688.88
6/13/2024,17667.56
6/12/2024,17608.44
6/11/2024,17343.55
6/10/2024,17192.53
6/7/2024,17133.13
6/6/2024,17173.12
